cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage1-Initial,garbage2-Initial,sc3-33,Monocle-33,Seurat-33,garbage1-33,garbage2-33,sc3-66,Monocle-66,Seurat-66,garbage1-66,garbage2-66,sc3-90,Monocle-90,Seurat-90,garbage1-90,garbage2-90,sc3-Final,Monocle-Final,Seurat-Final,garbage1-Final,garbage2-Final
human3_lib4.final_cell_0654,4,18,1,23,5,4,12,1,23,5,4,12,1,23,5,2,12,1,23,2,2,12,1,23,2
human3_lib4.final_cell_0655,27,17,2,15,6,27,13,2,15,6,27,13,2,15,6,27,13,2,1,6,27,13,2,1,6
human3_lib4.final_cell_0656,4,14,1,19,24,4,14,1,19,24,4,7,1,19,24,2,7,1,19,2,2,7,1,19,2
human3_lib4.final_cell_0657,9,21,6,17,24,9,21,6,17,24,9,21,6,17,24,9,16,6,17,2,9,16,6,17,2
human3_lib4.final_cell_0658,4,12,1,21,14,4,12,1,21,14,4,12,1,21,14,2,12,1,1,14,2,12,1,1,14
human3_lib4.final_cell_0659,4,12,1,13,26,4,12,1,13,26,4,12,1,13,26,2,12,1,13,2,2,12,1,13,2
human3_lib4.final_cell_0660,4,12,1,11,1,4,12,1,11,1,4,12,1,11,1,2,12,1,11,1,2,12,1,11,1
human3_lib4.final_cell_0661,4,18,1,1,23,4,12,1,1,23,4,12,1,1,23,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0662,27,17,2,17,22,27,13,2,17,22,27,13,2,17,22,27,13,2,17,2,27,13,2,17,2
human3_lib4.final_cell_0663,9,2,6,1,15,9,2,6,1,15,9,2,6,1,15,9,2,6,1,2,9,2,6,1,2
human3_lib4.final_cell_0664,4,12,1,11,3,4,12,1,11,3,4,12,1,11,3,2,12,1,11,2,2,12,1,11,2
human3_lib4.final_cell_0665,28,17,2,23,17,28,13,2,23,17,27,13,2,23,17,27,13,2,23,17,27,13,2,23,17
human3_lib4.final_cell_0666,4,18,1,8,10,4,12,1,8,10,4,12,1,8,10,2,12,1,1,10,2,12,1,1,10
human3_lib4.final_cell_0667,16,8,11,7,13,16,8,11,7,13,16,8,11,7,13,16,8,11,7,2,16,8,11,7,2
human3_lib4.final_cell_0668,4,18,1,11,22,4,12,1,11,22,4,12,1,11,22,2,12,1,11,2,2,12,1,11,2
human3_lib4.final_cell_0669,4,12,1,7,25,4,12,1,7,25,4,12,1,7,25,2,12,1,7,2,2,12,1,7,2
human3_lib4.final_cell_0670,16,15,11,4,5,16,15,11,4,5,16,15,11,4,5,16,15,11,4,2,16,15,11,4,2
human3_lib4.final_cell_0671,9,16,12,6,2,9,16,12,6,2,9,16,12,6,2,9,16,12,6,2,9,16,12,6,2
human3_lib4.final_cell_0672,9,20,6,16,22,9,20,6,16,22,9,20,6,16,22,9,20,6,16,2,9,20,6,16,2
human3_lib4.final_cell_0673,27,17,2,19,27,27,13,2,19,27,27,13,2,19,27,27,13,2,19,2,27,13,2,19,2
human3_lib4.final_cell_0674,4,12,1,24,9,4,12,1,24,9,4,12,1,24,9,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0675,25,10,8,6,12,25,10,8,6,12,25,10,8,6,12,23,3,8,6,12,23,3,8,6,12
human3_lib4.final_cell_0676,4,18,1,1,19,4,12,1,1,19,4,12,1,1,19,2,12,1,1,19,2,12,1,1,19
human3_lib4.final_cell_0677,4,12,1,18,17,4,12,1,18,17,4,12,1,18,17,2,12,1,1,17,2,12,1,1,17
human3_lib4.final_cell_0678,5,12,1,28,3,5,12,1,28,3,5,12,1,28,3,5,12,1,1,2,5,12,1,1,2
human3_lib4.final_cell_0679,9,21,6,2,24,9,21,6,2,24,9,21,6,2,24,9,16,6,2,2,9,16,6,2,2
human3_lib4.final_cell_0680,9,16,12,11,21,9,16,12,11,21,9,16,12,11,21,9,16,12,11,21,9,16,12,11,21
human3_lib4.final_cell_0681,18,24,16,26,9,18,24,16,26,9,18,24,16,26,9,18,24,16,1,2,18,24,16,1,2
human3_lib4.final_cell_0682,4,12,1,27,25,4,12,1,27,25,4,12,1,27,25,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0683,9,16,12,17,5,9,16,12,17,5,9,16,12,17,5,9,16,12,17,2,9,16,12,17,2
human3_lib4.final_cell_0684,19,10,8,3,25,19,10,8,3,25,19,10,8,3,25,5,3,8,3,2,5,3,8,3,2
human3_lib4.final_cell_0685,27,13,2,2,5,27,13,2,2,5,27,13,2,2,5,27,13,2,2,2,27,13,2,2,2
human3_lib4.final_cell_0686,25,8,11,5,10,25,8,11,5,10,25,8,11,5,10,23,8,11,1,10,23,8,11,1,10
human3_lib4.final_cell_0687,6,7,1,7,26,6,7,1,7,26,4,7,1,7,26,2,7,1,7,2,2,7,1,7,2
human3_lib4.final_cell_0688,4,12,1,15,27,4,12,1,15,27,4,12,1,15,27,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0689,9,20,6,26,11,9,20,6,26,11,9,20,6,26,11,9,20,6,1,11,9,20,6,1,11
human3_lib4.final_cell_0690,16,15,11,5,18,16,15,11,5,18,16,15,11,5,18,16,15,11,1,18,16,15,11,1,18
human3_lib4.final_cell_0691,9,20,6,5,18,9,20,6,5,18,9,20,6,5,18,9,20,6,1,18,9,20,6,1,18
human3_lib4.final_cell_0692,26,4,5,20,24,26,4,5,20,24,26,4,5,20,24,26,4,5,20,2,26,4,5,20,2
human3_lib4.final_cell_0693,17,22,9,26,23,17,22,9,26,23,17,22,9,26,23,17,22,9,1,2,17,22,9,1,2
human3_lib4.final_cell_0694,27,17,2,11,8,27,13,2,11,8,27,13,2,11,8,27,13,2,11,8,27,13,2,11,8
human3_lib4.final_cell_0695,25,15,11,19,7,25,15,11,19,7,25,15,11,19,7,23,15,11,19,2,23,15,11,19,2
human3_lib4.final_cell_0696,27,17,2,24,13,27,13,2,24,13,27,13,2,24,13,27,13,2,1,2,27,13,2,1,2
human3_lib4.final_cell_0697,4,14,1,23,5,4,14,1,23,5,4,7,1,23,5,2,7,1,23,2,2,7,1,23,2
human3_lib4.final_cell_0698,16,22,11,28,23,16,22,11,28,23,16,22,11,28,23,16,22,11,1,2,16,22,11,1,2
human3_lib4.final_cell_0699,25,6,1,5,1,25,6,1,5,1,25,6,1,5,1,23,6,1,1,1,23,6,1,1,1
human3_lib4.final_cell_0700,9,21,12,22,13,9,21,12,22,13,9,21,12,22,13,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0701,9,20,12,9,1,9,20,12,9,1,9,20,12,9,1,9,20,12,1,1,9,20,12,1,1
human3_lib4.final_cell_0702,4,12,20,20,16,4,12,20,20,16,4,12,20,20,16,2,12,8,20,16,2,12,8,20,16
human3_lib4.final_cell_0703,4,12,1,23,10,4,12,1,23,10,4,12,1,23,10,2,12,1,23,10,2,12,1,23,10
human3_lib4.final_cell_0704,4,12,1,21,6,4,12,1,21,6,4,12,1,21,6,2,12,1,1,6,2,12,1,1,6
human3_lib4.final_cell_0705,25,3,15,26,1,25,3,15,26,1,25,3,15,26,1,23,3,8,1,1,23,3,8,1,1
human3_lib4.final_cell_0706,27,13,2,13,16,27,13,2,13,16,27,13,2,13,16,27,13,2,13,16,27,13,2,13,16
human3_lib4.final_cell_0707,16,15,11,10,12,16,15,11,10,12,16,15,11,10,12,16,15,11,10,12,16,15,11,10,12
human3_lib4.final_cell_0708,4,12,1,24,21,4,12,1,24,21,4,12,1,24,21,2,12,1,1,21,2,12,1,1,21
human3_lib4.final_cell_0709,9,16,12,21,2,9,16,12,21,2,9,16,12,21,2,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0710,16,15,11,14,20,16,15,11,14,20,16,15,11,14,20,16,15,11,1,20,16,15,11,1,20
human3_lib4.final_cell_0711,4,18,1,19,10,4,12,1,19,10,4,12,1,19,10,2,12,1,19,10,2,12,1,19,10
human3_lib4.final_cell_0712,4,12,1,25,5,4,12,1,25,5,4,12,1,25,5,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0713,9,21,6,10,18,9,21,6,10,18,9,21,6,10,18,9,16,6,10,18,9,16,6,10,18
human3_lib4.final_cell_0714,4,6,1,3,17,4,6,1,3,17,4,6,1,3,17,2,6,1,3,17,2,6,1,3,17
human3_lib4.final_cell_0715,16,15,11,2,11,16,15,11,2,11,16,15,11,2,11,16,15,11,2,11,16,15,11,2,11
human3_lib4.final_cell_0716,9,16,12,28,19,9,16,12,28,19,9,16,12,28,19,9,16,12,1,19,9,16,12,1,19
human3_lib4.final_cell_0717,16,15,11,16,19,16,15,11,16,19,16,15,11,16,19,16,15,11,16,19,16,15,11,16,19
human3_lib4.final_cell_0718,16,15,11,19,12,16,15,11,19,12,16,15,11,19,12,16,15,11,19,12,16,15,11,19,12
human3_lib4.final_cell_0719,16,15,11,20,18,16,15,11,20,18,16,15,11,20,18,16,15,11,20,18,16,15,11,20,18
human3_lib4.final_cell_0720,4,12,1,11,1,4,12,1,11,1,4,12,1,11,1,2,12,1,11,1,2,12,1,11,1
human3_lib4.final_cell_0721,4,12,1,5,3,4,12,1,5,3,4,12,1,5,3,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0722,4,12,1,4,13,4,12,1,4,13,4,12,1,4,13,2,12,1,4,2,2,12,1,4,2
human3_lib4.final_cell_0723,9,16,12,6,14,9,16,12,6,14,9,16,12,6,14,9,16,12,6,14,9,16,12,6,14
human3_lib4.final_cell_0724,16,15,11,25,17,16,15,11,25,17,16,15,11,25,17,16,15,11,1,17,16,15,11,1,17
human3_lib4.final_cell_0725,4,7,1,11,15,4,7,1,11,15,4,7,1,11,15,2,7,1,11,2,2,7,1,11,2
human3_lib4.final_cell_0726,25,10,8,11,18,25,10,8,11,18,25,10,8,11,18,23,3,8,11,18,23,3,8,11,18
human3_lib4.final_cell_0727,4,18,1,20,17,4,12,1,20,17,4,12,1,20,17,2,12,1,20,17,2,12,1,20,17
human3_lib4.final_cell_0728,25,10,8,20,25,25,10,8,20,25,25,10,8,20,25,23,3,8,20,2,23,3,8,20,2
human3_lib4.final_cell_0729,9,21,6,16,12,9,21,6,16,12,9,21,6,16,12,9,16,6,16,12,9,16,6,16,12
human3_lib4.final_cell_0730,26,4,5,19,1,26,4,5,19,1,26,4,5,19,1,26,4,5,19,1,26,4,5,19,1
human3_lib4.final_cell_0731,4,12,1,14,19,4,12,1,14,19,4,12,1,14,19,2,12,1,1,19,2,12,1,1,19
human3_lib4.final_cell_0732,27,17,2,20,21,27,13,2,20,21,27,13,2,20,21,27,13,2,20,21,27,13,2,20,21
human3_lib4.final_cell_0733,4,18,1,15,5,4,12,1,15,5,4,12,1,15,5,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0734,9,16,12,27,19,9,16,12,27,19,9,16,12,27,19,9,16,12,1,19,9,16,12,1,19
human3_lib4.final_cell_0735,9,16,6,21,3,9,16,6,21,3,9,16,6,21,3,9,16,6,1,2,9,16,6,1,2
human3_lib4.final_cell_0736,4,12,1,10,18,4,12,1,10,18,4,12,1,10,18,2,12,1,10,18,2,12,1,10,18
human3_lib4.final_cell_0737,25,10,8,1,23,25,10,8,1,23,25,10,8,1,23,23,3,8,1,2,23,3,8,1,2
human3_lib4.final_cell_0738,4,12,1,20,13,4,12,1,20,13,4,12,1,20,13,2,12,1,20,2,2,12,1,20,2
human3_lib4.final_cell_0739,9,20,6,10,9,9,20,6,10,9,9,20,6,10,9,9,20,6,10,2,9,20,6,10,2
human3_lib4.final_cell_0740,6,12,1,17,21,6,12,1,17,21,4,12,1,17,21,2,12,1,17,21,2,12,1,17,21
human3_lib4.final_cell_0741,25,10,8,13,3,25,10,8,13,3,25,10,8,13,3,23,3,8,13,2,23,3,8,13,2
human3_lib4.final_cell_0742,27,17,2,17,1,27,13,2,17,1,27,13,2,17,1,27,13,2,17,1,27,13,2,17,1
human3_lib4.final_cell_0743,4,12,1,2,18,4,12,1,2,18,4,12,1,2,18,2,12,1,2,18,2,12,1,2,18
human3_lib4.final_cell_0744,4,12,1,11,5,4,12,1,11,5,4,12,1,11,5,2,12,1,11,2,2,12,1,11,2
human3_lib4.final_cell_0745,9,21,6,2,2,9,21,6,2,2,9,21,6,2,2,9,16,6,2,2,9,16,6,2,2
human3_lib4.final_cell_0746,27,13,2,8,11,27,13,2,8,11,27,13,2,8,11,27,13,2,1,11,27,13,2,1,11
human3_lib4.final_cell_0747,26,4,5,25,15,26,4,5,25,15,26,4,5,25,15,26,4,5,1,2,26,4,5,1,2
human3_lib4.final_cell_0748,27,13,2,11,1,27,13,2,11,1,27,13,2,11,1,27,13,2,11,1,27,13,2,11,1
human3_lib4.final_cell_0749,4,12,1,10,8,4,12,1,10,8,4,12,1,10,8,2,12,1,10,8,2,12,1,10,8
human3_lib4.final_cell_0750,4,12,1,1,19,4,12,1,1,19,4,12,1,1,19,2,12,1,1,19,2,12,1,1,19
human3_lib4.final_cell_0751,16,15,11,3,6,16,15,11,3,6,16,15,11,3,6,16,15,11,3,6,16,15,11,3,6
human3_lib4.final_cell_0752,18,24,16,13,10,18,24,16,13,10,18,24,16,13,10,18,24,16,13,10,18,24,16,13,10
human3_lib4.final_cell_0753,25,3,15,8,2,25,3,15,8,2,25,3,15,8,2,23,3,8,1,2,23,3,8,1,2
human3_lib4.final_cell_0754,9,16,12,9,8,9,16,12,9,8,9,16,12,9,8,9,16,12,1,8,9,16,12,1,8
human3_lib4.final_cell_0755,4,14,1,20,7,4,14,1,20,7,4,7,1,20,7,2,7,1,20,2,2,7,1,20,2
human3_lib4.final_cell_0756,4,12,1,15,23,4,12,1,15,23,4,12,1,15,23,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0757,17,22,11,5,6,17,22,11,5,6,17,22,11,5,6,17,22,11,1,6,17,22,11,1,6
human3_lib4.final_cell_0758,4,18,1,26,27,4,12,1,26,27,4,12,1,26,27,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0759,4,12,1,4,17,4,12,1,4,17,4,12,1,4,17,2,12,1,4,17,2,12,1,4,17
human3_lib4.final_cell_0760,4,12,1,14,16,4,12,1,14,16,4,12,1,14,16,2,12,1,1,16,2,12,1,1,16
human3_lib4.final_cell_0761,9,16,12,22,13,9,16,12,22,13,9,16,12,22,13,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0762,27,17,2,17,19,27,13,2,17,19,27,13,2,17,19,27,13,2,17,19,27,13,2,17,19
human3_lib4.final_cell_0763,6,12,1,28,26,6,12,1,28,26,4,12,1,28,26,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0764,9,20,6,10,7,9,20,6,10,7,9,20,6,10,7,9,20,6,10,2,9,20,6,10,2
human3_lib4.final_cell_0765,2,18,1,10,3,2,12,1,10,3,2,12,1,10,3,2,12,1,10,2,2,12,1,10,2
human3_lib4.final_cell_0766,5,19,12,2,17,5,19,12,2,17,5,19,12,2,17,5,19,12,2,17,5,19,12,2,17
human3_lib4.final_cell_0767,4,12,1,21,26,4,12,1,21,26,4,12,1,21,26,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0768,25,22,11,14,14,25,22,11,14,14,25,22,11,14,14,23,22,11,1,14,23,22,11,1,14
human3_lib4.final_cell_0769,20,19,12,6,12,20,19,12,6,12,20,19,12,6,12,20,19,12,6,12,20,19,12,6,12
human3_lib4.final_cell_0770,4,18,1,19,7,4,12,1,19,7,4,12,1,19,7,2,12,1,19,2,2,12,1,19,2
human3_lib4.final_cell_0771,2,18,1,18,6,2,12,1,18,6,2,12,1,18,6,2,12,1,1,6,2,12,1,1,6
human3_lib4.final_cell_0772,5,18,17,1,10,5,12,17,1,10,5,12,17,1,10,5,12,17,1,10,5,12,17,1,10
human3_lib4.final_cell_0773,27,17,2,2,7,27,13,2,2,7,27,13,2,2,7,27,13,2,2,2,27,13,2,2,2
human3_lib4.final_cell_0774,16,15,11,5,26,16,15,11,5,26,16,15,11,5,26,16,15,11,1,2,16,15,11,1,2
human3_lib4.final_cell_0775,16,15,11,13,24,16,15,11,13,24,16,15,11,13,24,16,15,11,13,2,16,15,11,13,2
human3_lib4.final_cell_0776,4,18,1,3,9,4,12,1,3,9,4,12,1,3,9,2,12,1,3,2,2,12,1,3,2
human3_lib4.final_cell_0777,6,7,1,7,25,6,7,1,7,25,4,7,1,7,25,2,7,1,7,2,2,7,1,7,2
human3_lib4.final_cell_0778,4,18,1,16,25,4,12,1,16,25,4,12,1,16,25,2,12,1,16,2,2,12,1,16,2
human3_lib4.final_cell_0779,27,17,2,6,1,27,13,2,6,1,27,13,2,6,1,27,13,2,6,1,27,13,2,6,1
human3_lib4.final_cell_0780,19,19,12,12,19,19,19,12,12,19,19,19,12,12,19,5,19,12,12,19,5,19,12,12,19
human3_lib4.final_cell_0781,5,19,12,21,24,5,19,12,21,24,5,19,12,21,24,5,19,12,1,2,5,19,12,1,2
human3_lib4.final_cell_0782,18,24,1,20,6,18,24,1,20,6,18,24,1,20,6,18,24,1,20,6,18,24,1,20,6
human3_lib4.final_cell_0783,27,17,2,23,15,27,13,2,23,15,27,13,2,23,15,27,13,2,23,2,27,13,2,23,2
human3_lib4.final_cell_0784,4,12,1,28,24,4,12,1,28,24,4,12,1,28,24,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0785,18,24,16,28,11,18,24,16,28,11,18,24,16,28,11,18,24,16,1,11,18,24,16,1,11
human3_lib4.final_cell_0786,18,24,16,1,6,18,24,16,1,6,18,24,16,1,6,18,24,16,1,6,18,24,16,1,6
human3_lib4.final_cell_0787,19,20,12,4,20,19,20,12,4,20,19,20,12,4,20,5,20,12,4,20,5,20,12,4,20
human3_lib4.final_cell_0788,9,20,6,4,2,9,20,6,4,2,9,20,6,4,2,9,20,6,4,2,9,20,6,4,2
human3_lib4.final_cell_0789,4,7,1,10,15,4,7,1,10,15,4,7,1,10,15,2,7,1,10,2,2,7,1,10,2
human3_lib4.final_cell_0790,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18
human3_lib4.final_cell_0791,19,19,12,17,16,19,19,12,17,16,19,19,12,17,16,5,19,12,17,16,5,19,12,17,16
human3_lib4.final_cell_0792,27,17,2,14,11,27,13,2,14,11,27,13,2,14,11,27,13,2,1,11,27,13,2,1,11
human3_lib4.final_cell_0793,27,17,2,2,25,27,13,2,2,25,27,13,2,2,25,27,13,2,2,2,27,13,2,2,2
human3_lib4.final_cell_0794,27,17,2,12,1,27,13,2,12,1,27,13,2,12,1,27,13,2,12,1,27,13,2,12,1
human3_lib4.final_cell_0795,25,10,8,14,16,25,10,8,14,16,25,10,8,14,16,23,3,8,1,16,23,3,8,1,16
human3_lib4.final_cell_0796,25,10,8,8,15,25,10,8,8,15,25,10,8,8,15,23,3,8,1,2,23,3,8,1,2
human3_lib4.final_cell_0797,16,15,11,10,26,16,15,11,10,26,16,15,11,10,26,16,15,11,10,2,16,15,11,10,2
human3_lib4.final_cell_0798,19,20,12,6,18,19,20,12,6,18,19,20,12,6,18,5,20,12,6,18,5,20,12,6,18
human3_lib4.final_cell_0799,4,7,1,22,24,4,7,1,22,24,4,7,1,22,24,2,7,1,1,2,2,7,1,1,2
human3_lib4.final_cell_0800,9,16,12,2,24,9,16,12,2,24,9,16,12,2,24,9,16,12,2,2,9,16,12,2,2
human3_lib4.final_cell_0801,4,12,1,20,12,4,12,1,20,12,4,12,1,20,12,2,12,1,20,12,2,12,1,20,12
human3_lib4.final_cell_0802,16,22,9,25,23,16,22,9,25,23,16,22,9,25,23,16,22,9,1,2,16,22,9,1,2
human3_lib4.final_cell_0803,4,18,1,22,9,4,12,1,22,9,4,12,1,22,9,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0804,5,19,12,20,23,5,19,12,20,23,5,19,12,20,23,5,19,12,20,2,5,19,12,20,2
human3_lib4.final_cell_0805,4,12,1,10,17,4,12,1,10,17,4,12,1,10,17,2,12,1,10,17,2,12,1,10,17
human3_lib4.final_cell_0806,4,12,1,10,24,4,12,1,10,24,4,12,1,10,24,2,12,1,10,2,2,12,1,10,2
human3_lib4.final_cell_0807,4,12,12,17,5,4,12,12,17,5,4,12,12,17,5,2,12,12,17,2,2,12,12,17,2
human3_lib4.final_cell_0808,11,16,6,26,2,11,16,6,26,2,11,16,6,26,2,11,16,6,1,2,11,16,6,1,2
human3_lib4.final_cell_0809,20,4,1,23,26,20,4,1,23,26,20,4,1,23,26,20,4,1,23,2,20,4,1,23,2
human3_lib4.final_cell_0810,21,20,6,24,26,21,20,6,24,26,21,20,6,24,26,21,20,6,1,2,21,20,6,1,2
human3_lib4.final_cell_0811,27,13,2,14,27,27,13,2,14,27,27,13,2,14,27,27,13,2,1,2,27,13,2,1,2
human3_lib4.final_cell_0812,4,12,1,28,23,4,12,1,28,23,4,12,1,28,23,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0813,9,16,12,17,4,9,16,12,17,4,9,16,12,17,4,9,16,12,17,4,9,16,12,17,4
human3_lib4.final_cell_0814,9,20,6,17,21,9,20,6,17,21,9,20,6,17,21,9,20,6,17,21,9,20,6,17,21
human3_lib4.final_cell_0815,11,21,17,14,18,11,21,17,14,18,11,21,17,14,18,11,16,17,1,18,11,16,17,1,18
human3_lib4.final_cell_0816,9,2,6,24,24,9,2,6,24,24,9,2,6,24,24,9,2,6,1,2,9,2,6,1,2
human3_lib4.final_cell_0817,18,24,1,8,19,18,24,1,8,19,18,24,1,8,19,18,24,1,1,19,18,24,1,1,19
human3_lib4.final_cell_0818,25,3,15,1,20,25,3,15,1,20,25,3,15,1,20,23,3,8,1,20,23,3,8,1,20
human3_lib4.final_cell_0819,25,10,8,6,7,25,10,8,6,7,25,10,8,6,7,23,3,8,6,2,23,3,8,6,2
human3_lib4.final_cell_0820,4,12,1,3,22,4,12,1,3,22,4,12,1,3,22,2,12,1,3,2,2,12,1,3,2
human3_lib4.final_cell_0821,4,18,1,25,10,4,12,1,25,10,4,12,1,25,10,2,12,1,1,10,2,12,1,1,10
human3_lib4.final_cell_0822,19,19,12,9,28,19,19,12,9,28,19,19,12,9,28,5,19,12,1,2,5,19,12,1,2
human3_lib4.final_cell_0823,9,21,6,5,26,9,21,6,5,26,9,21,6,5,26,9,16,6,1,2,9,16,6,1,2
human3_lib4.final_cell_0824,9,21,12,12,6,9,21,12,12,6,9,21,12,12,6,9,16,12,12,6,9,16,12,12,6
human3_lib4.final_cell_0825,16,15,11,11,2,16,15,11,11,2,16,15,11,11,2,16,15,11,11,2,16,15,11,11,2
human3_lib4.final_cell_0826,16,22,11,6,17,16,22,11,6,17,16,22,11,6,17,16,22,11,6,17,16,22,11,6,17
human3_lib4.final_cell_0827,9,16,12,6,23,9,16,12,6,23,9,16,12,6,23,9,16,12,6,2,9,16,12,6,2
human3_lib4.final_cell_0828,25,21,8,1,21,25,21,8,1,21,25,21,8,1,21,23,16,8,1,21,23,16,8,1,21
human3_lib4.final_cell_0829,5,19,12,19,7,5,19,12,19,7,5,19,12,19,7,5,19,12,19,2,5,19,12,19,2
human3_lib4.final_cell_0830,5,19,12,26,13,5,19,12,26,13,5,19,12,26,13,5,19,12,1,2,5,19,12,1,2
human3_lib4.final_cell_0831,4,18,1,5,10,4,12,1,5,10,4,12,1,5,10,2,12,1,1,10,2,12,1,1,10
human3_lib4.final_cell_0832,25,10,8,6,20,25,10,8,6,20,25,10,8,6,20,23,3,8,6,20,23,3,8,6,20
human3_lib4.final_cell_0833,28,11,2,28,9,28,11,2,28,9,27,11,2,28,9,27,11,2,1,2,27,11,2,1,2
human3_lib4.final_cell_0834,9,21,12,22,25,9,21,12,22,25,9,21,12,22,25,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0835,4,12,1,19,17,4,12,1,19,17,4,12,1,19,17,2,12,1,19,17,2,12,1,19,17
human3_lib4.final_cell_0836,4,12,1,19,5,4,12,1,19,5,4,12,1,19,5,2,12,1,19,2,2,12,1,19,2
human3_lib4.final_cell_0837,25,15,11,9,19,25,15,11,9,19,25,15,11,9,19,23,15,11,1,19,23,15,11,1,19
human3_lib4.final_cell_0838,4,18,1,22,28,4,12,1,22,28,4,12,1,22,28,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0839,9,16,12,24,13,9,16,12,24,13,9,16,12,24,13,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0840,4,18,1,11,8,4,12,1,11,8,4,12,1,11,8,2,12,1,11,8,2,12,1,11,8
human3_lib4.final_cell_0841,19,19,6,2,15,19,19,6,2,15,19,19,6,2,15,5,19,6,2,2,5,19,6,2,2
human3_lib4.final_cell_0842,25,3,15,21,14,25,3,15,21,14,25,3,15,21,14,23,3,8,1,14,23,3,8,1,14
human3_lib4.final_cell_0843,16,15,11,14,7,16,15,11,14,7,16,15,11,14,7,16,15,11,1,2,16,15,11,1,2
human3_lib4.final_cell_0844,25,3,15,10,23,25,3,15,10,23,25,3,15,10,23,23,3,8,10,2,23,3,8,10,2
human3_lib4.final_cell_0845,9,21,12,27,25,9,21,12,27,25,9,21,12,27,25,9,16,12,1,2,9,16,12,1,2
human3_lib4.final_cell_0846,25,10,8,13,18,25,10,8,13,18,25,10,8,13,18,23,3,8,13,18,23,3,8,13,18
human3_lib4.final_cell_0847,25,3,15,7,7,25,3,15,7,7,25,3,15,7,7,23,3,8,7,2,23,3,8,7,2
human3_lib4.final_cell_0848,4,12,1,22,17,4,12,1,22,17,4,12,1,22,17,2,12,1,1,17,2,12,1,1,17
human3_lib4.final_cell_0849,4,12,1,17,5,4,12,1,17,5,4,12,1,17,5,2,12,1,17,2,2,12,1,17,2
human3_lib4.final_cell_0850,19,20,12,9,9,19,20,12,9,9,19,20,12,9,9,5,20,12,1,2,5,20,12,1,2
human3_lib4.final_cell_0851,4,18,1,18,15,4,12,1,18,15,4,12,1,18,15,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0852,25,10,8,1,8,25,10,8,1,8,25,10,8,1,8,23,3,8,1,8,23,3,8,1,8
human3_lib4.final_cell_0853,25,10,8,21,3,25,10,8,21,3,25,10,8,21,3,23,3,8,1,2,23,3,8,1,2
human3_lib4.final_cell_0854,4,12,1,4,28,4,12,1,4,28,4,12,1,4,28,2,12,1,4,2,2,12,1,4,2
human3_lib4.final_cell_0855,9,19,12,10,16,9,19,12,10,16,9,19,12,10,16,9,19,12,10,16,9,19,12,10,16
human3_lib4.final_cell_0856,4,18,1,8,6,4,12,1,8,6,4,12,1,8,6,2,12,1,1,6,2,12,1,1,6
human3_lib4.final_cell_0857,4,18,1,5,27,4,12,1,5,27,4,12,1,5,27,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0858,19,16,12,25,2,19,16,12,25,2,19,16,12,25,2,5,16,12,1,2,5,16,12,1,2
human3_lib4.final_cell_0859,11,10,8,4,21,11,10,8,4,21,11,10,8,4,21,11,3,8,4,21,11,3,8,4,21
human3_lib4.final_cell_0860,9,20,12,8,6,9,20,12,8,6,9,20,12,8,6,9,20,12,1,6,9,20,12,1,6
human3_lib4.final_cell_0861,4,12,1,21,27,4,12,1,21,27,4,12,1,21,27,2,12,1,1,2,2,12,1,1,2
human3_lib4.final_cell_0862,19,20,12,6,1,19,20,12,6,1,19,20,12,6,1,5,20,12,6,1,5,20,12,6,1
human3_lib4.final_cell_0863,20,19,12,11,25,20,19,12,11,25,20,19,12,11,25,20,19,12,11,2,20,19,12,11,2
human3_lib4.final_cell_0864,25,10,8,15,8,25,10,8,15,8,25,10,8,15,8,23,3,8,1,8,23,3,8,1,8
human3_lib4.final_cell_0865,4,12,1,10,3,4,12,1,10,3,4,12,1,10,3,2,12,1,10,2,2,12,1,10,2
