cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage-Initial,sc3-33,Monocle-33,Seurat-33,garbage-33,sc3-66,Monocle-66,Seurat-66,garbage-66,sc3-90,Monocle-90,Seurat-90,garbage-90,sc3-Final,Monocle-Final,Seurat-Final,garbage-Final
human4_lib1.final_cell_0059,15,2,10,1,15,2,10,1,15,2,10,1,15,2,10,1,15,2,10,1
human4_lib1.final_cell_0060,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0061,15,20,10,22,15,20,10,22,15,20,10,22,15,20,10,22,15,20,10,1
human4_lib1.final_cell_0062,24,11,14,7,24,11,14,7,24,11,14,7,24,11,14,7,24,11,14,7
human4_lib1.final_cell_0063,15,23,10,19,15,23,10,19,15,23,10,19,15,23,10,19,15,23,10,19
human4_lib1.final_cell_0064,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4
human4_lib1.final_cell_0065,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20
human4_lib1.final_cell_0066,23,9,8,23,23,9,8,23,23,9,8,23,23,9,8,23,23,9,8,23
human4_lib1.final_cell_0067,1,14,7,13,1,14,7,13,1,7,4,13,1,7,4,13,1,7,4,1
human4_lib1.final_cell_0068,1,7,7,5,1,7,7,5,1,7,4,5,1,7,4,5,1,7,4,1
human4_lib1.final_cell_0069,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21
human4_lib1.final_cell_0070,23,9,8,17,23,9,8,17,23,9,8,17,23,9,8,17,23,9,8,1
human4_lib1.final_cell_0071,23,9,8,17,23,9,8,17,23,9,8,17,23,9,8,17,23,9,8,1
human4_lib1.final_cell_0072,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10
human4_lib1.final_cell_0073,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16,23,9,8,16
human4_lib1.final_cell_0074,1,14,7,20,1,14,7,20,1,7,4,20,1,7,4,20,1,7,4,20
human4_lib1.final_cell_0075,15,23,10,3,15,23,10,3,15,23,10,3,15,23,10,3,15,23,10,1
human4_lib1.final_cell_0076,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,1
human4_lib1.final_cell_0077,17,9,8,7,17,9,8,7,17,9,8,7,17,9,8,7,17,9,8,7
human4_lib1.final_cell_0078,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23
human4_lib1.final_cell_0079,24,11,14,27,24,11,14,27,24,11,14,27,24,11,14,27,24,11,14,1
human4_lib1.final_cell_0080,15,23,10,18,15,23,10,18,15,23,10,18,15,23,10,18,15,23,10,1
human4_lib1.final_cell_0081,15,20,10,18,15,20,10,18,15,20,10,18,15,20,10,18,15,20,10,1
human4_lib1.final_cell_0082,23,9,8,7,23,9,8,7,23,9,8,7,23,9,8,7,23,9,8,7
human4_lib1.final_cell_0083,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15
human4_lib1.final_cell_0084,15,23,10,1,15,23,10,1,15,23,10,1,15,23,10,1,15,23,10,1
human4_lib1.final_cell_0085,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23
human4_lib1.final_cell_0086,15,20,10,27,15,20,10,27,15,20,10,27,15,20,10,27,15,20,10,1
human4_lib1.final_cell_0087,15,20,10,3,15,20,10,3,15,20,10,3,15,20,10,3,15,20,10,1
human4_lib1.final_cell_0088,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,1
human4_lib1.final_cell_0089,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11
human4_lib1.final_cell_0090,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28
human4_lib1.final_cell_0091,1,7,7,12,1,7,7,12,1,7,4,12,1,7,4,12,1,7,4,12
human4_lib1.final_cell_0092,17,22,9,24,17,22,9,24,17,22,9,24,17,22,9,24,17,22,9,1
human4_lib1.final_cell_0093,1,24,7,5,1,24,7,5,1,24,4,5,1,24,4,5,1,24,4,1
human4_lib1.final_cell_0094,1,14,7,7,1,14,7,7,1,7,4,7,1,7,4,7,1,7,4,7
human4_lib1.final_cell_0095,1,14,7,24,1,14,7,24,1,7,4,24,1,7,4,24,1,7,4,1
human4_lib1.final_cell_0096,25,5,19,22,25,5,19,22,25,5,19,22,25,5,19,22,25,3,15,1
human4_lib1.final_cell_0097,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,1
human4_lib1.final_cell_0098,17,22,9,6,17,22,9,6,17,22,9,6,17,22,9,6,17,22,9,6
human4_lib1.final_cell_0099,17,22,9,17,17,22,9,17,17,22,9,17,17,22,9,17,17,22,9,1
human4_lib1.final_cell_0100,15,23,10,12,15,23,10,12,15,23,10,12,15,23,10,12,15,23,10,12
human4_lib1.final_cell_0101,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,1
human4_lib1.final_cell_0102,15,23,10,11,15,23,10,11,15,23,10,11,15,23,10,11,15,23,10,11
human4_lib1.final_cell_0103,15,23,10,14,15,23,10,14,15,23,10,14,15,23,10,14,15,23,10,1
human4_lib1.final_cell_0104,2,12,7,26,2,12,7,26,2,12,4,26,2,12,4,26,2,12,4,26
human4_lib1.final_cell_0105,15,2,10,10,15,2,10,10,15,2,10,10,15,2,10,10,15,2,10,10
human4_lib1.final_cell_0106,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,1
human4_lib1.final_cell_0107,1,14,7,21,1,14,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human4_lib1.final_cell_0108,1,7,7,25,1,7,7,25,1,7,4,25,1,7,4,25,1,7,4,1
human4_lib1.final_cell_0109,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,1
human4_lib1.final_cell_0110,15,23,10,8,15,23,10,8,15,23,10,8,15,23,10,8,15,23,10,1
human4_lib1.final_cell_0111,17,22,9,22,17,22,9,22,17,22,9,22,17,22,9,22,17,22,9,1
human4_lib1.final_cell_0112,21,20,17,2,21,20,17,2,21,20,17,2,21,20,17,2,21,20,17,2
human4_lib1.final_cell_0113,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,1
human4_lib1.final_cell_0114,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human4_lib1.final_cell_0115,24,13,9,3,24,13,9,3,24,13,9,3,24,13,9,3,24,13,9,1
human4_lib1.final_cell_0116,17,22,9,1,17,22,9,1,17,22,9,1,17,22,9,1,17,22,9,1
human4_lib1.final_cell_0117,1,14,4,7,1,14,4,7,1,7,4,7,1,7,4,7,1,7,4,7
human4_lib1.final_cell_0118,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0119,17,22,9,9,17,22,9,9,17,22,9,9,17,22,9,9,17,22,9,9
human4_lib1.final_cell_0120,15,2,10,20,15,2,10,20,15,2,10,20,15,2,10,20,15,2,10,20
human4_lib1.final_cell_0121,15,2,10,4,15,2,10,4,15,2,10,4,15,2,10,4,15,2,10,4
human4_lib1.final_cell_0122,18,24,16,11,18,24,16,11,18,24,16,11,18,24,16,11,18,24,16,11
human4_lib1.final_cell_0123,1,14,7,17,1,14,7,17,1,7,4,17,1,7,4,17,1,7,4,1
human4_lib1.final_cell_0124,15,23,10,1,15,23,10,1,15,23,10,1,15,23,10,1,15,23,10,1
human4_lib1.final_cell_0125,15,20,10,15,15,20,10,15,15,20,10,15,15,20,10,15,15,20,10,15
human4_lib1.final_cell_0126,15,20,10,2,15,20,10,2,15,20,10,2,15,20,10,2,15,20,10,2
human4_lib1.final_cell_0127,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20,24,11,14,20
human4_lib1.final_cell_0128,23,9,8,1,23,9,8,1,23,9,8,1,23,9,8,1,23,9,8,1
human4_lib1.final_cell_0129,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1
human4_lib1.final_cell_0130,15,23,10,28,15,23,10,28,15,23,10,28,15,23,10,28,15,23,10,28
human4_lib1.final_cell_0131,17,22,9,12,17,22,9,12,17,22,9,12,17,22,9,12,17,22,9,12
human4_lib1.final_cell_0132,15,20,10,22,15,20,10,22,15,20,10,22,15,20,10,22,15,20,10,1
human4_lib1.final_cell_0133,24,11,14,19,24,11,14,19,24,11,14,19,24,11,14,19,24,11,14,19
human4_lib1.final_cell_0134,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,1
human4_lib1.final_cell_0135,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,1
human4_lib1.final_cell_0136,1,14,7,25,1,14,7,25,1,7,4,25,1,7,4,25,1,7,4,1
human4_lib1.final_cell_0137,17,22,9,6,17,22,9,6,17,22,9,6,17,22,9,6,17,22,9,6
human4_lib1.final_cell_0138,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human4_lib1.final_cell_0139,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,27,15,23,10,1
human4_lib1.final_cell_0140,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,1
human4_lib1.final_cell_0141,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1,26,4,5,1
human4_lib1.final_cell_0142,1,14,7,20,1,14,7,20,1,7,4,20,1,7,4,20,1,7,4,20
human4_lib1.final_cell_0143,1,7,7,13,1,7,7,13,1,7,4,13,1,7,4,13,1,7,4,1
human4_lib1.final_cell_0144,17,22,9,21,17,22,9,21,17,22,9,21,17,22,9,21,17,22,9,21
human4_lib1.final_cell_0145,25,5,19,2,25,5,19,2,25,5,19,2,25,5,19,2,25,3,15,2
human4_lib1.final_cell_0146,1,14,7,15,1,14,7,15,1,7,4,15,1,7,4,15,1,7,4,15
human4_lib1.final_cell_0147,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,1
human4_lib1.final_cell_0148,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0149,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16
human4_lib1.final_cell_0150,15,20,10,21,15,20,10,21,15,20,10,21,15,20,10,21,15,20,10,21
human4_lib1.final_cell_0151,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,1
human4_lib1.final_cell_0152,1,14,7,21,1,14,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human4_lib1.final_cell_0153,15,23,10,5,15,23,10,5,15,23,10,5,15,23,10,5,15,23,10,1
human4_lib1.final_cell_0154,1,12,7,25,1,12,7,25,1,12,4,25,1,12,4,25,1,12,4,1
human4_lib1.final_cell_0155,15,23,10,25,15,23,10,25,15,23,10,25,15,23,10,25,15,23,10,1
human4_lib1.final_cell_0156,15,23,10,20,15,23,10,20,15,23,10,20,15,23,10,20,15,23,10,20
human4_lib1.final_cell_0157,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,1
human4_lib1.final_cell_0158,17,15,9,5,17,15,9,5,17,15,9,5,17,15,9,5,17,15,9,1
human4_lib1.final_cell_0159,15,2,10,24,15,2,10,24,15,2,10,24,15,2,10,24,15,2,10,1
human4_lib1.final_cell_0160,15,20,10,6,15,20,10,6,15,20,10,6,15,20,10,6,15,20,10,6
human4_lib1.final_cell_0161,1,7,7,17,1,7,7,17,1,7,4,17,1,7,4,17,1,7,4,1
human4_lib1.final_cell_0162,1,14,7,22,1,14,7,22,1,7,4,22,1,7,4,22,1,7,4,1
human4_lib1.final_cell_0163,15,23,10,22,15,23,10,22,15,23,10,22,15,23,10,22,15,23,10,1
human4_lib1.final_cell_0164,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4
human4_lib1.final_cell_0165,1,7,7,24,1,7,7,24,1,7,4,24,1,7,4,24,1,7,4,1
human4_lib1.final_cell_0166,15,23,10,16,15,23,10,16,15,23,10,16,15,23,10,16,15,23,10,16
human4_lib1.final_cell_0167,15,23,10,24,15,23,10,24,15,23,10,24,15,23,10,24,15,23,10,1
human4_lib1.final_cell_0168,1,14,7,12,1,14,7,12,1,7,4,12,1,7,4,12,1,7,4,12
human4_lib1.final_cell_0169,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12
human4_lib1.final_cell_0170,15,20,13,20,15,20,13,20,15,20,13,20,15,20,13,20,15,20,13,20
human4_lib1.final_cell_0171,1,14,7,11,1,14,7,11,1,7,4,11,1,7,4,11,1,7,4,11
human4_lib1.final_cell_0172,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10
human4_lib1.final_cell_0173,15,23,10,4,15,23,10,4,15,23,10,4,15,23,10,4,15,23,10,4
human4_lib1.final_cell_0174,15,20,10,10,15,20,10,10,15,20,10,10,15,20,10,10,15,20,10,10
human4_lib1.final_cell_0175,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4
human4_lib1.final_cell_0176,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28
human4_lib1.final_cell_0177,15,2,10,17,15,2,10,17,15,2,10,17,15,2,10,17,15,2,10,1
human4_lib1.final_cell_0178,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0179,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9,18,24,16,9
human4_lib1.final_cell_0180,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,1
human4_lib1.final_cell_0181,25,22,9,2,25,22,9,2,25,22,9,2,25,22,9,2,25,22,9,2
human4_lib1.final_cell_0182,1,7,7,22,1,7,7,22,1,7,4,22,1,7,4,22,1,7,4,1
human4_lib1.final_cell_0183,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,1
human4_lib1.final_cell_0184,1,14,7,14,1,14,7,14,1,7,4,14,1,7,4,14,1,7,4,1
human4_lib1.final_cell_0185,1,7,7,10,1,7,7,10,1,7,4,10,1,7,4,10,1,7,4,10
human4_lib1.final_cell_0186,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human4_lib1.final_cell_0187,1,7,7,27,1,7,7,27,1,7,4,27,1,7,4,27,1,7,4,1
human4_lib1.final_cell_0188,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16
human4_lib1.final_cell_0189,26,4,5,14,26,4,5,14,26,4,5,14,26,4,5,14,26,4,5,1
human4_lib1.final_cell_0190,1,7,7,15,1,7,7,15,1,7,4,15,1,7,4,15,1,7,4,15
human4_lib1.final_cell_0191,1,7,7,6,1,7,7,6,1,7,4,6,1,7,4,6,1,7,4,6
human4_lib1.final_cell_0192,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human4_lib1.final_cell_0193,15,23,10,5,15,23,10,5,15,23,10,5,15,23,10,5,15,23,10,1
human4_lib1.final_cell_0194,15,23,10,12,15,23,10,12,15,23,10,12,15,23,10,12,15,23,10,12
human4_lib1.final_cell_0195,1,7,7,22,1,7,7,22,1,7,4,22,1,7,4,22,1,7,4,1
human4_lib1.final_cell_0196,18,24,16,5,18,24,16,5,18,24,16,5,18,24,16,5,18,24,16,1
human4_lib1.final_cell_0197,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,1
human4_lib1.final_cell_0198,13,23,13,28,13,23,13,28,13,23,13,28,13,23,13,28,13,23,13,28
human4_lib1.final_cell_0199,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,1
human4_lib1.final_cell_0200,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12,26,4,5,12
human4_lib1.final_cell_0201,18,24,9,12,18,24,9,12,18,24,9,12,18,24,9,12,18,24,9,12
human4_lib1.final_cell_0202,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,1
human4_lib1.final_cell_0203,3,12,7,2,3,12,7,2,3,12,4,2,1,12,4,2,1,12,4,2
human4_lib1.final_cell_0204,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human4_lib1.final_cell_0205,15,23,10,4,15,23,10,4,15,23,10,4,15,23,10,4,15,23,10,4
human4_lib1.final_cell_0206,15,2,10,19,15,2,10,19,15,2,10,19,15,2,10,19,15,2,10,19
human4_lib1.final_cell_0207,1,7,7,24,1,7,7,24,1,7,4,24,1,7,4,24,1,7,4,1
human4_lib1.final_cell_0208,24,11,14,25,24,11,14,25,24,11,14,25,24,11,14,25,24,11,14,1
human4_lib1.final_cell_0209,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,1
human4_lib1.final_cell_0210,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4,15,20,10,4
human4_lib1.final_cell_0211,1,14,7,23,1,14,7,23,1,7,4,23,1,7,4,23,1,7,4,23
human4_lib1.final_cell_0212,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26
human4_lib1.final_cell_0213,23,9,8,12,23,9,8,12,23,9,8,12,23,9,8,12,23,9,8,12
human4_lib1.final_cell_0214,1,7,7,27,1,7,7,27,1,7,4,27,1,7,4,27,1,7,4,1
human4_lib1.final_cell_0215,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16
human4_lib1.final_cell_0216,1,14,7,23,1,14,7,23,1,7,4,23,1,7,4,23,1,7,4,23
human4_lib1.final_cell_0217,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20
human4_lib1.final_cell_0218,15,23,10,2,15,23,10,2,15,23,10,2,15,23,10,2,15,23,10,2
human4_lib1.final_cell_0219,15,23,10,22,15,23,10,22,15,23,10,22,15,23,10,22,15,23,10,1
human4_lib1.final_cell_0220,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16,17,22,9,16
human4_lib1.final_cell_0221,15,2,10,6,15,2,10,6,15,2,10,6,15,2,10,6,15,2,10,6
human4_lib1.final_cell_0222,15,20,10,25,15,20,10,25,15,20,10,25,15,20,10,25,15,20,10,1
human4_lib1.final_cell_0223,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,1
human4_lib1.final_cell_0224,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11
human4_lib1.final_cell_0225,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23,15,23,10,23
human4_lib1.final_cell_0226,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9,13,23,13,9
human4_lib1.final_cell_0227,15,20,10,6,15,20,10,6,15,20,10,6,15,20,10,6,15,20,10,6
human4_lib1.final_cell_0228,1,7,7,19,1,7,7,19,1,7,4,19,1,7,4,19,1,7,4,19
human4_lib1.final_cell_0229,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16
human4_lib1.final_cell_0230,1,7,7,26,1,7,7,26,1,7,4,26,1,7,4,26,1,7,4,26
human4_lib1.final_cell_0231,25,5,19,27,25,5,19,27,25,5,19,27,25,5,19,27,25,3,15,1
human4_lib1.final_cell_0232,1,14,7,18,1,14,7,18,1,7,4,18,1,7,4,18,1,7,4,1
human4_lib1.final_cell_0233,1,7,7,8,1,7,7,8,1,7,4,8,1,7,4,8,1,7,4,1
human4_lib1.final_cell_0234,15,23,10,18,15,23,10,18,15,23,10,18,15,23,10,18,15,23,10,1
human4_lib1.final_cell_0235,23,9,8,13,23,9,8,13,23,9,8,13,23,9,8,13,23,9,8,1
human4_lib1.final_cell_0236,15,21,10,4,15,21,10,4,15,21,10,4,15,21,10,4,15,16,10,4
human4_lib1.final_cell_0237,15,20,10,5,15,20,10,5,15,20,10,5,15,20,10,5,15,20,10,1
human4_lib1.final_cell_0238,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,18,17,22,9,1
human4_lib1.final_cell_0239,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19
human4_lib1.final_cell_0240,18,24,16,24,18,24,16,24,18,24,16,24,18,24,16,24,18,24,16,1
human4_lib1.final_cell_0241,15,20,10,27,15,20,10,27,15,20,10,27,15,20,10,27,15,20,10,1
human4_lib1.final_cell_0242,17,22,9,14,17,22,9,14,17,22,9,14,17,22,9,14,17,22,9,1
human4_lib1.final_cell_0243,15,23,10,6,15,23,10,6,15,23,10,6,15,23,10,6,15,23,10,6
human4_lib1.final_cell_0244,15,23,10,19,15,23,10,19,15,23,10,19,15,23,10,19,15,23,10,19
human4_lib1.final_cell_0245,15,23,10,8,15,23,10,8,15,23,10,8,15,23,10,8,15,23,10,1
human4_lib1.final_cell_0246,15,23,10,11,15,23,10,11,15,23,10,11,15,23,10,11,15,23,10,11
human4_lib1.final_cell_0247,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11,15,20,10,11
human4_lib1.final_cell_0248,1,18,7,5,1,12,7,5,1,12,4,5,1,12,4,5,1,12,4,1
human4_lib1.final_cell_0249,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9
human4_lib1.final_cell_0250,1,14,7,23,1,14,7,23,1,7,4,23,1,7,4,23,1,7,4,23
human4_lib1.final_cell_0251,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20,17,22,9,20
human4_lib1.final_cell_0252,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,17,24,11,14,1
human4_lib1.final_cell_0253,15,23,10,24,15,23,10,24,15,23,10,24,15,23,10,24,15,23,10,1
human4_lib1.final_cell_0254,1,7,7,2,1,7,7,2,1,7,4,2,1,7,4,2,1,7,4,2
human4_lib1.final_cell_0255,1,7,7,21,1,7,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human4_lib1.final_cell_0256,24,11,14,19,24,11,14,19,24,11,14,19,24,11,14,19,24,11,14,19
human4_lib1.final_cell_0257,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0258,1,14,7,1,1,14,7,1,1,7,4,1,1,7,4,1,1,7,4,1
human4_lib1.final_cell_0259,1,14,7,24,1,14,7,24,1,7,4,24,1,7,4,24,1,7,4,1
human4_lib1.final_cell_0260,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19,17,22,9,19
human4_lib1.final_cell_0261,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10,15,23,10,10
human4_lib1.final_cell_0262,15,23,13,11,15,23,13,11,15,23,13,11,15,23,13,11,15,23,13,11
human4_lib1.final_cell_0263,1,14,4,22,1,14,4,22,1,7,4,22,1,7,4,22,1,7,4,1
human4_lib1.final_cell_0264,28,11,14,3,28,11,14,3,28,11,14,3,27,11,14,3,27,11,14,1
human4_lib1.final_cell_0265,18,24,16,7,18,24,16,7,18,24,16,7,18,24,16,7,18,24,16,7
human4_lib1.final_cell_0266,13,20,3,17,13,20,3,17,13,20,3,17,13,20,3,17,13,20,3,1
human4_lib1.final_cell_0267,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human4_lib1.final_cell_0268,18,24,16,2,18,24,16,2,18,24,16,2,18,24,16,2,18,24,16,2
human4_lib1.final_cell_0269,15,23,13,7,15,23,13,7,15,23,13,7,15,23,13,7,15,23,13,7
human4_lib1.final_cell_0270,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,27,17,22,9,1
human4_lib1.final_cell_0271,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4,17,22,9,4
human4_lib1.final_cell_0272,15,23,10,26,15,23,10,26,15,23,10,26,15,23,10,26,15,23,10,26
human4_lib1.final_cell_0273,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,25,17,22,9,1
human4_lib1.final_cell_0274,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,1
human4_lib1.final_cell_0275,1,14,7,21,1,14,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human4_lib1.final_cell_0276,15,2,10,28,15,2,10,28,15,2,10,28,15,2,10,28,15,2,10,28
human4_lib1.final_cell_0277,15,20,10,10,15,20,10,10,15,20,10,10,15,20,10,10,15,20,10,10
human4_lib1.final_cell_0278,15,23,10,2,15,23,10,2,15,23,10,2,15,23,10,2,15,23,10,2
human4_lib1.final_cell_0279,1,18,7,22,1,12,7,22,1,12,4,22,1,12,4,22,1,12,4,1
human4_lib1.final_cell_0280,15,23,10,28,15,23,10,28,15,23,10,28,15,23,10,28,15,23,10,28
human4_lib1.final_cell_0281,1,18,7,16,1,12,7,16,1,12,4,16,1,12,4,16,1,12,4,16
human4_lib1.final_cell_0282,15,23,10,21,15,23,10,21,15,23,10,21,15,23,10,21,15,23,10,21
human4_lib1.final_cell_0283,15,23,10,26,15,23,10,26,15,23,10,26,15,23,10,26,15,23,10,26
human4_lib1.final_cell_0284,1,7,7,14,1,7,7,14,1,7,4,14,1,7,4,14,1,7,4,1
human4_lib1.final_cell_0285,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,5,17,22,9,1
human4_lib1.final_cell_0286,1,7,7,13,1,7,7,13,1,7,4,13,1,7,4,13,1,7,4,1
human4_lib1.final_cell_0287,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26,17,22,9,26
human4_lib1.final_cell_0288,15,23,10,15,15,23,10,15,15,23,10,15,15,23,10,15,15,23,10,15
human4_lib1.final_cell_0289,1,14,7,23,1,14,7,23,1,7,4,23,1,7,4,23,1,7,4,23
human4_lib1.final_cell_0290,15,2,10,17,15,2,10,17,15,2,10,17,15,2,10,17,15,2,10,1
human4_lib1.final_cell_0291,15,20,13,21,15,20,13,21,15,20,13,21,15,20,13,21,15,20,13,21
human4_lib1.final_cell_0292,15,20,10,26,15,20,10,26,15,20,10,26,15,20,10,26,15,20,10,26
human4_lib1.final_cell_0293,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,8,15,20,10,1
human4_lib1.final_cell_0294,1,14,7,14,1,14,7,14,1,7,4,14,1,7,4,14,1,7,4,1
human4_lib1.final_cell_0295,25,5,19,16,25,5,19,16,25,5,19,16,25,5,19,16,25,3,15,16
human4_lib1.final_cell_0296,1,7,7,21,1,7,7,21,1,7,4,21,1,7,4,21,1,7,4,21
human4_lib1.final_cell_0297,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,27,26,4,5,1
human4_lib1.final_cell_0298,18,24,16,20,18,24,16,20,18,24,16,20,18,24,16,20,18,24,16,20
human4_lib1.final_cell_0299,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,13,15,20,10,1
human4_lib1.final_cell_0300,15,20,10,20,15,20,10,20,15,20,10,20,15,20,10,20,15,20,10,20
human4_lib1.final_cell_0301,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human4_lib1.final_cell_0302,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,13,24,11,14,1
human4_lib1.final_cell_0303,17,22,9,10,17,22,9,10,17,22,9,10,17,22,9,10,17,22,9,10
human4_lib1.final_cell_0304,15,2,10,15,15,2,10,15,15,2,10,15,15,2,10,15,15,2,10,15
human4_lib1.final_cell_0305,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16,15,20,10,16
human4_lib1.final_cell_0306,1,14,7,14,1,14,7,14,1,7,4,14,1,7,4,14,1,7,4,1
human4_lib1.final_cell_0307,15,21,10,7,15,21,10,7,15,21,10,7,15,21,10,7,15,16,10,7
human4_lib1.final_cell_0308,1,7,7,22,1,7,7,22,1,7,4,22,1,7,4,22,1,7,4,1
human4_lib1.final_cell_0309,23,9,8,10,23,9,8,10,23,9,8,10,23,9,8,10,23,9,8,10
